類別,科目代碼,科目名稱,學分,成績,,
專必,2101001,微積分（一）,4,65,專必,66
專必,2101002,微積分（二）,4,72,專選,12
專必,4101000,計算機概論（一）,3,70,通識,24
專必,4100002,計算機概論（二）,3,67,資訊能力,通過學、術科
專必,4101009,計算機概論實習（一）,1,93,英文能力,
專必,4101008,計算機概論實習（二）,1,84,,
專必,4101012,資訊概論,2,60,,
專必,4102090,工程數學,3,73,,
專必,4102150,系統程式,3,77,,
專必,4102160,物件導向程式設計,3,69,,
專必,4102068,計算方法概論,3,86,,
專必,4102050,組合語言,3,69,,
專必,4102062,資料結構,3,72,,
專必,4102100,數位系統導論,3,70,,
專必,4102130,數位系統導論實驗,1,68,,
專必,4102001,數位電子學,3,77,,
專必,4102003,數位電子學實驗,1,93,,
專必,4102085,離散數學,3,61,,
專必,4103080,作業系統設計與實作,3,78,,
專必,4103083,作業系統設計與實作實習,1,78,,
專必,4103001,作業系統概論,3,68,,
專必,4103055,計算機組織,3,65,,
專必,4103020,程式語言導論,3,85,,
專必,4103800,資訊工程研討,1,91,,
專必,4104800,專題實驗（一）,2,85,,
專必,4104005,編譯器設計,3,69,,
專必,4101013,機率論,3,76,,
專選,4103095,Java程式設計:企業與嵌入式系統,3,74,,
專選,4103066,人工智慧導論,3,60,,
專選,4103061,數值分析,3,81,,
通識,7101004,中國語文知識及其應用（中國古典小說）（次領域一）,2,TR,,
通識,7101008,中國語文知識及其應用（應用文）（次領域一）,2,TR,,
通識,7102003,日文（一）（次領域二）,2,90,,
通識,7102004,日文（二）（次領域二）,2,90,,
通識,7304018,多媒體設計與實務（次領域四）,3,97,,
通識,7304023,造形藝術與設計（次領域四）,2,89,,
通識,7402004,社會與經濟（次領域二）,2,71,,
通識,7403001,政治學（次領域三）,2,94,,
通識,7403007,國際關係與亞太安全概論（次領域三）,2,60,,
通識,7403002,憲法與政府（次領域三）,2,94,,
通識,7507015,能源應用工程（次領域七）,3,78,,
